# Chunk-averaged data for fix stress_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_mystress[1] c_mystress[2] c_mystress[3] density/number
1000000 1000 77920.00000000006
  1 -49.95 0 0 0 0 0
  2 -49.85 0 0 0 0 0
  3 -49.75 0 0 0 0 0
  4 -49.65 0 0 0 0 0
  5 -49.55 0 0 0 0 0
  6 -49.45 0 0 0 0 0
  7 -49.35 0 0 0 0 0
  8 -49.25 0 0 0 0 0
  9 -49.15 0 0 0 0 0
  10 -49.05 0 0 0 0 0
  11 -48.95 0 0 0 0 0
  12 -48.85 0 0 0 0 0
  13 -48.75 0 0 0 0 0
  14 -48.65 0 0 0 0 0
  15 -48.55 0 0 0 0 0
  16 -48.45 0 0 0 0 0
  17 -48.35 0 0 0 0 0
  18 -48.25 0 0 0 0 0
  19 -48.15 0 0 0 0 0
  20 -48.05 0 0 0 0 0
  21 -47.95 0 0 0 0 0
  22 -47.85 0 0 0 0 0
  23 -47.75 0 0 0 0 0
  24 -47.65 0 0 0 0 0
  25 -47.55 0 0 0 0 0
  26 -47.45 0 0 0 0 0
  27 -47.35 0 0 0 0 0
  28 -47.25 0 0 0 0 0
  29 -47.15 0 0 0 0 0
  30 -47.05 0 0 0 0 0
  31 -46.95 0 0 0 0 0
  32 -46.85 0 0 0 0 0
  33 -46.75 0 0 0 0 0
  34 -46.65 0 0 0 0 0
  35 -46.55 0 0 0 0 0
  36 -46.45 0 0 0 0 0
  37 -46.35 0 0 0 0 0
  38 -46.25 0 0 0 0 0
  39 -46.15 0 0 0 0 0
  40 -46.05 0 0 0 0 0
  41 -45.95 0 0 0 0 0
  42 -45.85 0 0 0 0 0
  43 -45.75 0 0 0 0 0
  44 -45.65 0 0 0 0 0
  45 -45.55 0 0 0 0 0
  46 -45.45 0 0 0 0 0
  47 -45.35 0 0 0 0 0
  48 -45.25 0 0 0 0 0
  49 -45.15 0 0 0 0 0
  50 -45.05 0 0 0 0 0
  51 -44.95 0 0 0 0 0
  52 -44.85 0 0 0 0 0
  53 -44.75 0 0 0 0 0
  54 -44.65 0 0 0 0 0
  55 -44.55 0 0 0 0 0
  56 -44.45 0 0 0 0 0
  57 -44.35 0 0 0 0 0
  58 -44.25 0 0 0 0 0
  59 -44.15 0 0 0 0 0
  60 -44.05 0 0 0 0 0
  61 -43.95 0 0 0 0 0
  62 -43.85 0 0 0 0 0
  63 -43.75 0 0 0 0 0
  64 -43.65 0 0 0 0 0
  65 -43.55 0 0 0 0 0
